SCAN,ADDRESS,TIMESTAMP,UUID,MAJOR,MINOR,TX POWER,RSSI,SAFE_DISTANCE
27,DC:A6:32:2C:42:BC,2020-07-14 20:01:29.059963,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-55,0
28,DC:A6:32:2C:42:BC,2020-07-14 20:01:31.064848,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-56,0
29,DC:A6:32:2C:42:BC,2020-07-14 20:01:32.272316,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-57,0
30,DC:A6:32:2C:42:BC,2020-07-14 20:01:33.043693,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-54,0
31,DC:A6:32:2C:42:BC,2020-07-14 20:01:34.157321,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-53,0
32,DC:A6:32:2C:42:BC,2020-07-14 20:01:36.134843,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-59,0
33,DC:A6:32:2C:42:BC,2020-07-14 20:01:37.337935,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-60,0
34,DC:A6:32:2C:42:BC,2020-07-14 20:01:38.273576,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-58,0
35,DC:A6:32:2C:42:BC,2020-07-14 20:01:39.343579,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-63,0
36,DC:A6:32:2C:42:BC,2020-07-14 20:01:40.194862,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-60,0
37,DC:A6:32:2C:42:BC,2020-07-14 20:01:42.199784,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-60,0
38,DC:A6:32:2C:42:BC,2020-07-14 20:01:43.347929,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-56,0
39,DC:A6:32:2C:42:BC,2020-07-14 20:01:44.386150,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-51,0
40,DC:A6:32:2C:42:BC,2020-07-14 20:01:45.032293,22af6dee-c647-11ea-94f4-dca6322c42bb,1,1,1,-60,0
